,material_tag,concept_tag,concept_slug,material_id,target
0,0,0,c,1,0.7417310815201176
1,1,1,massachusetts-institute-of-technology,19,0.0150631822500057
2,1,2,castlemaine-xxxx,19,0.0087342213953785
3,1,3,mit-opencourseware,19,0.0063808123335278
4,1,4,red-herring,19,0.0059594348146766
5,1,5,problem-set,19,0.0055333727209848
6,1,6,herring,19,0.004818462636604
7,1,7,study-skills,19,0.0041145444017508
8,1,8,school-district,19,0.0040834853273336
9,1,9,chemistry,19,0.0036639862708043
10,1,10,departments-of-france,19,0.0036319457155674
11,1,11,mental-health,19,0.0026920614879693
12,1,12,science,19,0.0024278908376829
13,1,13,homework,19,0.0024047558998659
14,1,14,student,19,0.0022140210819446
15,1,15,secondary-school,19,0.0020308992601603
16,1,16,brand,19,0.0019208556140012
17,1,17,perception,19,0.0017773301069045
18,1,18,education,19,0.0017716699197652
19,1,19,working-class,19,0.0017354675322887
20,1,20,law,19,0.0017016733837007
21,1,21,religion,19,0.0016851052198978
22,1,22,economics,19,0.0016505629496844
23,1,23,united-kingdom,19,0.0016394833961046
24,1,24,world-war-i,19,0.0016232948407486
25,1,25,youtube,19,0.0016207907195192
26,1,26,information,19,0.0015517252673451
27,1,27,nobel-prize,19,0.0015503805418941
28,1,28,united-states,19,0.001544258219208
29,1,29,medicine,19,0.0014942824250419
30,1,30,social-class,19,0.0013998553734273
31,1,31,time,19,0.0013941539694815
32,1,32,extracurricular-activity,19,0.001381640353617
33,1,33,poverty,19,0.0013718904549728
34,1,34,human,19,0.0013717687718674
35,1,35,art,19,0.0013696480895568
36,1,36,september-11-attacks,19,0.0013684349833461
37,1,37,literature,19,0.0013607583282466
38,1,38,discrimination,19,0.0013358444200311
39,2,39,protein,20,0.0085713306497432
40,2,40,base-pair,20,0.0078158806963173
41,2,41,dna,20,0.005359624734613
42,2,42,immune-system,20,0.0047612682791328
43,2,43,lymphocyte,20,0.0047575867676981
44,2,44,t-cell,20,0.0047189730544886
45,2,45,vaccine,20,0.0046291627850295
46,2,46,virus,20,0.0041989307519121
47,2,47,capsid,20,0.0039898153360329
48,2,48,recombinant-dna,20,0.0039790911276104
49,2,49,peptide,20,0.0037169659061542
50,2,50,antibody,20,0.0036085316379968
51,2,51,natural-killer-cell,20,0.0035518032966552
52,2,52,cell-biology,20,0.0035163515808467
53,2,53,gamete,20,0.0034175424725052
54,2,54,homologous-recombination,20,0.0033884402500443
55,2,55,ploidy,20,0.0032233145456399
56,2,56,plasma-cell,20,0.0032173624089519
57,2,57,white-blood-cell,20,0.003069679324652
58,2,58,genetic-code,20,0.0030653930237593
59,2,59,mhc-class-i,20,0.0030124561623989
60,2,60,humoral-immunity,20,0.0029879324867918
61,2,61,red-blood-cell,20,0.0028511469546644
62,2,62,stop-codon,20,0.0027193161909457
63,2,63,infection,20,0.0026670303041343
64,2,64,cell-nucleus,20,0.0025184227635265
65,2,65,antigen,20,0.0024873163750851
66,2,66,intron,20,0.0024703174172278
67,2,67,neuron,20,0.0024699307955926
68,2,68,b-cell,20,0.00245608200928
69,2,69,start-codon,20,0.0023829456554389
70,2,70,molecule,20,0.0023728764801341
71,2,71,blood,20,0.0022887992356966
72,2,72,cytotoxicity,20,0.0022419896749498
73,2,73,mutation,20,0.0021837631272361
74,2,74,cytotoxic-t-cell,20,0.0021814747213164
75,2,75,antiviral-drug,20,0.0020989140312602
76,2,76,vaccination,20,0.0020270579315445
